name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two,type
Kyakhanahai,No,No,3.4,8,Koramangala 5th Block,Delivery,"North Indian, South Indian",400.0,Delivery
Slurpy Shakes,Yes,No,3.8,0,HSR,Delivery,Beverages,300.0,Delivery
Savoury Express,Yes,No,3.6,31,Jeevan Bhima Nagar,Casual Dining,Arabian,800.0,Delivery
Daily Sushi,Yes,No,3.6,18,Marathahalli,Quick Bites,others,900.0,Delivery
Alchemy - The Chancery Pavilion,No,Yes,4.3,485,Residency Road,others,others,2000.0,Drinks & nightlife
Koshe Kosha,Yes,No,4.0,576,Koramangala 1st Block,Casual Dining,others,600.0,Delivery
Republic Of Noodles - Lemon Tree Premier,No,Yes,4.5,550,Ulsoor,Casual Dining,others,1800.0,Dine-out
De Purple Cafe,No,No,3.4,0,Marathahalli,Quick Bites,"Fast Food, Beverages",300.0,Delivery
YummRajj,Yes,No,3.5,45,BTM,Quick Bites,Fast Food,500.0,Delivery
Kolkata Kathi Roll's,Yes,No,3.6,18,Banashankari,Quick Bites,"Fast Food, Rolls",250.0,Dine-out
Oye Amritsar,Yes,Yes,4.1,450,Church Street,Casual Dining,North Indian,1000.0,Delivery
Kolkata Kathi Rolls,Yes,No,3.8,23,JP Nagar,Quick Bites,others,150.0,Delivery
The Permit Room,No,No,4.5,1576,Brigade Road,"Casual Dining, Bar",South Indian,1500.0,Dine-out
White Fog,No,No,4.2,0,Koramangala 6th Block,Cafe,others,800.0,Cafes
Ragoo's,Yes,No,3.9,234,Jayanagar,Casual Dining,others,800.0,Delivery
Krispy Kreme,Yes,No,4.0,47,Richmond Road,Dessert Parlor,"Desserts, Beverages",300.0,Desserts
Foodhall,Yes,No,4.0,113,MG Road,Casual Dining,others,1000.0,Delivery
Mumbai Xpress,Yes,No,2.8,92,Bellandur,Quick Bites,others,350.0,Dine-out
Shadow Kolkata Katti Rolls & Momos,Yes,No,4.0,0,Brigade Road,Quick Bites,others,250.0,Delivery
Khan Saheb Grills and Rolls,Yes,No,3.4,25,Langford Town,Quick Bites,"Fast Food, Rolls",400.0,Dine-out
Hiyar Majhe Kolkata,Yes,No,4.0,244,BTM,Quick Bites,others,400.0,Delivery
Funjabi,Yes,No,3.5,140,Church Street,Casual Dining,North Indian,600.0,Dine-out
Nouvelle Garden,No,No,3.7,203,JP Nagar,Casual Dining,others,900.0,Buffet
The Lemon Grass Kitchen,No,No,3.3,5,Electronic City,Quick Bites,"Chinese, Thai",300.0,Delivery
Tarbouche,Yes,No,3.5,18,Sarjapur Road,others,others,300.0,Delivery
Paratha Junction,Yes,No,3.3,396,Jayanagar,Quick Bites,"North Indian, Chinese",300.0,Delivery
Smokin Bites,Yes,No,3.4,20,Sarjapur Road,Quick Bites,"North Indian, Chinese",200.0,Dine-out
Waah Chef,No,No,3.5,0,Whitefield,Casual Dining,others,600.0,Dine-out
Shankar Maanes Kitchen,Yes,No,3.8,33,HSR,Quick Bites,others,500.0,Dine-out
Khanapur Express,No,No,3.3,0,JP Nagar,Quick Bites,others,500.0,Dine-out
Hang10 Resto N Cafe,Yes,No,3.7,100,BTM,Cafe,others,700.0,Delivery
Meal & Biryani,Yes,No,3.6,19,Bommanahalli,Quick Bites,others,450.0,Delivery
White Elefan Coffee and Snack Bar,Yes,No,3.9,45,Koramangala 6th Block,Quick Bites,others,550.0,Delivery
Gelato Italiano,Yes,No,2.9,17,Ulsoor,Dessert Parlor,others,200.0,Desserts
Oggarne,No,No,3.2,13,Wilson Garden,"Takeaway, Delivery","South Indian, North Indian, Chinese",300.0,Delivery
Tea Samskruthi,No,No,3.9,18,Malleshwaram,Cafe,Cafe,200.0,Cafes
The Coffee Bean & Tea Leaf,Yes,No,3.8,262,MG Road,Cafe,Cafe,700.0,Cafes
De Street Cafe,No,No,3.6,61,BTM,Cafe,Cafe,500.0,Cafes
New Roll Centre,No,No,3.3,7,Indiranagar,Quick Bites,"Fast Food, Rolls",150.0,Delivery
Dum Biryani Hub,Yes,No,3.9,66,BTM,Quick Bites,Biryani,700.0,Dine-out
Best Shawarmas,Yes,No,3.4,0,BTM,Delivery,others,300.0,Delivery
Bhavani Upahara,Yes,No,3.3,9,Bannerghatta Road,Quick Bites,South Indian,250.0,Delivery
Hakka Chinese Restaurant,Yes,No,3.9,332,Koramangala 1st Block,Casual Dining,"Chinese, Thai",600.0,Delivery
Village Donne Biryani,Yes,No,3.3,49,Koramangala 5th Block,Quick Bites,Biryani,300.0,Delivery
Prasiddhi Food Corner,Yes,No,3.7,171,JP Nagar,Quick Bites,others,200.0,Delivery
Karachi Bakery,Yes,No,3.9,56,Indiranagar,Bakery,Bakery,500.0,Delivery
Navaneetha,No,No,3.3,4,Koramangala 8th Block,Quick Bites,others,350.0,Delivery
Hari Super Sandwich,No,No,4.1,163,Jayanagar,Quick Bites,others,200.0,Dine-out
Go Italia,Yes,No,4.0,783,Koramangala 6th Block,Casual Dining,others,750.0,Dine-out
Darshan Paradise Restaurant,Yes,No,3.8,0,BTM,Quick Bites,"North Indian, Chinese",250.0,Dine-out
Aishwarya Sweets,Yes,No,3.6,24,Rajajinagar,others,"Mithai, Street Food",250.0,Desserts
Homemadefoodlovers,No,No,3.7,0,Whitefield,Delivery,others,150.0,Delivery
Kanti Sweets,Yes,No,3.8,151,HSR,others,"Mithai, Street Food",400.0,Dine-out
Shree Sagar Veg Fast Food,No,No,3.2,0,Majestic,Quick Bites,South Indian,150.0,Dine-out
Abhiruchi Restaurant,Yes,No,3.4,7,Sarjapur Road,Casual Dining,others,550.0,Delivery
New Mangalore Lunch Home,Yes,No,3.8,36,Koramangala 1st Block,Quick Bites,others,300.0,Delivery
Donne Biriyani Mane,Yes,No,3.8,162,Jeevan Bhima Nagar,Quick Bites,"Biryani, Kebab",400.0,Delivery
Zanzibar - Davanam Sarovar Portico Suites,No,No,3.5,39,BTM,others,Finger Food,1200.0,Dine-out
The Boozy Griffin,No,Yes,4.6,5002,Koramangala 5th Block,others,others,1800.0,Drinks & nightlife
Nevermind - Bar & Social,No,Yes,4.4,221,Indiranagar,others,others,2000.0,Pubs and bars
Food Springs,Yes,No,4.0,233,Jayanagar,Quick Bites,"South Indian, Chinese",400.0,Delivery
The Culinarium,No,No,4.0,25,Vasanth Nagar,others,others,1100.0,Desserts
The Old Fashioned Bar,No,Yes,4.5,571,Koramangala 6th Block,others,others,1000.0,Drinks & nightlife
Momoz,Yes,No,4.0,939,BTM,Casual Dining,"Chinese, Momos",600.0,Delivery
Hearts Unlock Cafe,No,No,3.2,11,BTM,Cafe,others,500.0,Cafes
North Indian Hotel,No,No,3.4,11,Shivajinagar,Quick Bites,North Indian,200.0,Dine-out
Roy Hotel & Restaurant,Yes,No,4.0,124,New BEL Road,Quick Bites,others,300.0,Delivery
Daawat Restaurant Bar & Pub,Yes,No,3.5,9,Koramangala 7th Block,others,others,700.0,Delivery
Omleterian,Yes,No,3.4,0,BTM,Quick Bites,others,200.0,Delivery
Taja Coffee,No,No,3.1,0,Banashankari,Quick Bites,South Indian,150.0,Dine-out
Quality Eat,Yes,No,3.4,0,Whitefield,Casual Dining,South Indian,400.0,Dine-out
Kerala Pavilion,Yes,No,3.9,303,Domlur,Quick Bites,others,300.0,Delivery
Sidewalk Cafe - Nahar's Heritage Hotel,No,No,3.9,135,St. Marks Road,Casual Dining,others,800.0,Dine-out
Zaitoon,Yes,Yes,4.1,1547,JP Nagar,Casual Dining,others,1000.0,Buffet
Abhiruchi Hotel,Yes,No,3.5,735,BTM,Casual Dining,others,600.0,Delivery
Cupcake Noggins,No,No,4.1,724,Koramangala 4th Block,others,"Desserts, Bakery",300.0,Delivery
The Hyderabadi Cooks,Yes,No,3.3,0,Brookefield,Quick Bites,"North Indian, Chinese",300.0,Delivery
Chikki's CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,3.4,0,Marathahalli,Quick Bites,others,500.0,Delivery
Grubhouse,Yes,No,4.1,338,Indiranagar,others,"Cafe, Continental",800.0,Delivery
Onesta,Yes,Yes,4.3,355,Basaveshwara Nagar,others,others,600.0,Cafes
Sherlock's Pub,No,Yes,3.9,590,Koramangala 5th Block,others,others,1300.0,Dine-out
Butterly Cafe,No,No,3.1,14,Whitefield,Cafe,Cafe,550.0,Cafes
Shift,Yes,Yes,4.2,1867,HSR,others,others,1500.0,Delivery
The Tao Terraces,Yes,Yes,3.9,1939,MG Road,Casual Dining,others,2100.0,Delivery
21 Corner Haus Cafe,No,No,3.3,0,Shanti Nagar,Quick Bites,"North Indian, Chinese, Biryani",300.0,Dine-out
Wai Wai City,No,No,3.3,0,Bellandur,Quick Bites,Chinese,250.0,Dine-out
Chai Point,Yes,No,4.0,108,New BEL Road,others,"Fast Food, Beverages",250.0,Delivery
Ambur Star Briyani,No,No,2.8,227,HSR,Quick Bites,"Biryani, Kebab",500.0,Delivery
Tandoor Garden,Yes,No,3.6,71,BTM,Quick Bites,others,350.0,Delivery
Uptown Sliders & Shakes,Yes,No,3.9,115,HSR,Quick Bites,others,600.0,Delivery
Delhi Bhavan,No,No,3.3,11,Commercial Street,Quick Bites,others,150.0,Dine-out
The Hub - Ibis Hotel,No,No,3.5,29,Richmond Road,others,others,2200.0,Pubs and bars
The IT Crowd,Yes,No,2.8,20,Whitefield,Quick Bites,others,400.0,Dine-out
Toscano Wine Connection,No,No,4.2,0,"Varthur Main Road, Whitefield","Casual Dining, Bar",others,1200.0,Dine-out
Juice Shop,Yes,No,3.7,17,"Varthur Main Road, Whitefield","Takeaway, Delivery",others,150.0,Delivery
Sri Durga Cane Fresh,No,No,3.4,5,BTM,others,others,100.0,Dine-out
Udupi Thaja Thindi,Yes,No,2.9,42,BTM,Quick Bites,others,250.0,Dine-out
Krishna Grand,Yes,No,3.2,42,HSR,Quick Bites,South Indian,200.0,Dine-out
The Sandesh Factory,No,No,3.2,4,Bannerghatta Road,others,others,150.0,Delivery
Rolls On Wheels,No,No,3.5,134,Sarjapur Road,Quick Bites,others,300.0,Delivery
Kamat Minerva,Yes,No,2.6,72,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",300.0,Dine-out
Kadala Tarangaa,Yes,No,3.6,129,Banashankari,Casual Dining,others,600.0,Dine-out
Side Street Kitchen,No,No,3.5,0,Koramangala 5th Block,Quick Bites,others,400.0,Dine-out
Ibaco,Yes,No,4.0,289,Indiranagar,Dessert Parlor,Desserts,300.0,Delivery
Calicut Durbar,Yes,No,3.9,58,Koramangala 7th Block,Quick Bites,others,500.0,Dine-out
Bhagini,Yes,No,2.3,120,Banaswadi,"Casual Dining, Bar",others,800.0,Dine-out
Turquoise,No,No,2.8,56,JP Nagar,others,North Indian,1200.0,Dine-out
Ammi's Biryani,No,No,2.8,43,Bellandur,Quick Bites,"Biryani, North Indian",500.0,Dine-out
The Hunger Room,Yes,No,3.9,37,JP Nagar,Quick Bites,others,400.0,Delivery
Yummy Momos,Yes,No,3.6,0,Bannerghatta Road,Quick Bites,others,200.0,Dine-out
Sri Sharana Basaveshwara Khanavali,No,No,3.4,0,BTM,Quick Bites,South Indian,200.0,Delivery
Kirthi's Biryani,Yes,No,3.8,145,Banashankari,Cafe,others,700.0,Delivery
Cheers Pub Bar & Restro,No,Yes,4.1,94,Koramangala 4th Block,others,others,1100.0,Drinks & nightlife
The Charcoal Factory,Yes,No,4.1,292,Koramangala 6th Block,Quick Bites,others,600.0,Delivery
iSpice Resto Cafe,Yes,No,3.7,31,Indiranagar,Quick Bites,"North Indian, Chinese, Fast Food",500.0,Delivery
M World Cafe,Yes,No,3.5,14,Koramangala 1st Block,Cafe,Cafe,500.0,Dine-out
Cakeship,No,No,3.6,0,JP Nagar,Bakery,"Bakery, Desserts",200.0,Delivery
BBQ@52,No,Yes,3.9,53,MG Road,Casual Dining,others,1500.0,Buffet
Chacha Ka Dhaba,No,No,3.9,0,Whitefield,Quick Bites,"North Indian, Chinese",400.0,Delivery
Krem,Yes,No,4.1,61,Koramangala 5th Block,Dessert Parlor,others,450.0,Delivery
Oil Pump,No,No,3.7,68,Koramangala 6th Block,others,others,1000.0,Dine-out
Desi Rasoi,Yes,Yes,3.8,361,Jayanagar,Casual Dining,others,600.0,Delivery
Kaapi Kendra,Yes,No,3.7,16,Jayanagar,Quick Bites,South Indian,100.0,Delivery
Skoolroom,Yes,No,4.3,578,Ulsoor,Cafe,others,700.0,Delivery
Cream and Bakes,No,No,3.5,14,Domlur,Dessert Parlor,Desserts,100.0,Delivery
Maruti Garden,No,No,3.5,0,BTM,Casual Dining,others,450.0,Delivery
Coco Barista,No,No,3.5,0,BTM,Cafe,others,400.0,Delivery
Estaa Sweets,Yes,No,3.3,5,Marathahalli,others,others,300.0,Desserts
The Black Pearl,No,Yes,4.7,10413,Koramangala 5th Block,"Casual Dining, Bar",others,1400.0,Dine-out
Masaala Town,No,No,3.4,0,Nagawara,Quick Bites,"Biryani, Fast Food",250.0,Dine-out
Sangam Sweets,Yes,No,3.8,75,Koramangala 3rd Block,others,"Mithai, Street Food",200.0,Desserts
Sweet Truth,Yes,No,4.1,49,Residency Road,Delivery,"Bakery, Desserts",500.0,Desserts
Choice Bakery,No,No,3.6,0,BTM,others,"Bakery, Fast Food",200.0,Desserts
Sri Sai Lakshmi,No,No,3.4,0,HSR,Delivery,South Indian,200.0,Delivery
Chianti,No,Yes,4.7,4845,Koramangala 5th Block,Casual Dining,others,1500.0,Dine-out
Atithi,Yes,Yes,3.9,224,HSR,Casual Dining,others,800.0,Buffet
Hyderabad Biryaani Palace,Yes,No,3.0,66,Sahakara Nagar,Quick Bites,"North Indian, Chinese, Biryani",600.0,Delivery
AULI,No,No,3.5,0,Thippasandra,"Takeaway, Delivery",Continental,500.0,Delivery
M.R.S Hotel,No,No,3.4,0,Ulsoor,Quick Bites,"South Indian, Chinese",300.0,Dine-out
Head O State,No,Yes,3.8,200,Indiranagar,"Casual Dining, Bar",others,1000.0,Dine-out
Roll Er Dokaan,Yes,No,3.3,19,Brigade Road,Quick Bites,others,300.0,Dine-out
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,others,700.0,Cafes
Chakh Le India,Yes,No,3.3,229,Brookefield,Quick Bites,others,300.0,Dine-out
Dhaba Express,Yes,No,3.7,175,HSR,"Takeaway, Delivery",others,400.0,Desserts
Lazeez Biryani,Yes,No,4.0,50,New BEL Road,Quick Bites,others,400.0,Dine-out
One For The Road,Yes,Yes,4.1,137,Whitefield,others,others,1200.0,Drinks & nightlife
Kava Bar - Fairfield By Marriott,No,No,3.4,10,Rajajinagar,others,others,1800.0,Pubs and bars
Natural Ice Cream,No,No,4.6,945,Indiranagar,Dessert Parlor,others,200.0,Desserts
Stand View Cake N Snack,No,No,3.6,0,Indiranagar,others,others,300.0,Desserts
The Donut Baker,No,No,3.0,31,Ulsoor,others,Desserts,150.0,Delivery
Sweet Truth,Yes,No,3.9,35,Rajajinagar,Delivery,"Bakery, Desserts",500.0,Desserts
Eat At Nite,Yes,No,3.4,77,Frazer Town,"Takeaway, Delivery",others,400.0,Delivery
Eat Well,No,No,3.0,34,Koramangala 6th Block,Quick Bites,"Chinese, North Indian",500.0,Delivery
Tea Trails,Yes,No,4.0,0,HSR,Cafe,others,600.0,Delivery
The Chocolate Room,Yes,No,3.9,205,HSR,others,others,600.0,Delivery
The Lassi Park,Yes,No,4.1,184,Jayanagar,Quick Bites,others,200.0,Delivery
Aroma Fine Dine,Yes,Yes,4.0,126,HSR,Casual Dining,others,900.0,Delivery
Hello Resto-Pub,Yes,Yes,4.1,348,Old Airport Road,others,Continental,900.0,Dine-out
Pabrai's Fresh & Naturelle Icecreams,Yes,No,3.9,128,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery
Apsara Ice Cream,No,No,4.2,251,JP Nagar,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery
Hyderabad Biryaani House,Yes,No,4.1,1112,Koramangala 5th Block,Casual Dining,others,750.0,Delivery
The Only Place,Yes,Yes,4.2,2924,Church Street,Casual Dining,others,1000.0,Delivery
Tripura Express,Yes,No,2.9,156,Old Airport Road,"Takeaway, Delivery",others,450.0,Delivery
Rajan's Cafe,Yes,No,2.8,79,Domlur,Quick Bites,"North Indian, Chinese, Fast Food",300.0,Dine-out
Rolls Mania,Yes,No,3.8,117,Whitefield,Quick Bites,"Fast Food, Rolls",450.0,Delivery
Tella Tales,Yes,No,4.2,414,Koramangala 5th Block,Cafe,others,700.0,Dine-out
Udupi Grand,Yes,No,3.8,74,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery
Crunchees Cafeteria,No,No,3.4,11,Kalyan Nagar,Quick Bites,Fast Food,400.0,Dine-out
Lot Like Crepes,Yes,No,4.6,1026,Koramangala 7th Block,others,others,550.0,Cafes
Smally's Resto Cafe,Yes,No,4.3,3547,Church Street,Cafe,others,650.0,Delivery
Zam Zam Darbar,No,No,2.9,84,BTM,Casual Dining,others,500.0,Dine-out
Omleterian,Yes,No,3.6,0,Bellandur,Delivery,others,200.0,Delivery
Khan Saheb Grills and Rolls,Yes,No,3.9,135,Jayanagar,Quick Bites,"Fast Food, Rolls",350.0,Delivery
Penta Cafe,Yes,No,3.5,12,Frazer Town,Quick Bites,others,350.0,Delivery
Kolkata Rolls & Fast Food,Yes,No,3.5,142,HSR,"Takeaway, Delivery",others,200.0,Delivery
Holiday Fast Food,No,No,3.4,21,Ejipura,Quick Bites,others,350.0,Dine-out
La Mirch,No,No,3.1,6,Koramangala 1st Block,Delivery,others,400.0,Delivery
LayerBite,Yes,No,3.8,10,BTM,Bakery,others,450.0,Delivery
Yummy Momos,Yes,No,3.3,5,Kumaraswamy Layout,Quick Bites,others,200.0,Delivery
Real Ambur Dum Biryani,No,No,3.3,4,Whitefield,Quick Bites,"Biryani, Fast Food",250.0,Dine-out
Happie Hippies,No,No,3.2,0,Vasanth Nagar,Quick Bites,others,500.0,Dine-out
An Egg Story,No,No,4.1,701,Brookefield,Cafe,others,600.0,Delivery
The Trundle,Yes,No,3.7,133,Jayanagar,Casual Dining,others,700.0,Delivery
Dunkin' Donuts,Yes,No,4.0,1087,Brigade Road,others,others,550.0,Delivery
Chef Baker's,Yes,No,3.6,37,Koramangala 1st Block,others,Bakery,450.0,Dine-out
The Gulkand Store,No,No,3.6,0,BTM,Dessert Parlor,"Desserts, Ice Cream",100.0,Desserts
Slurpy Shakes,Yes,No,3.6,0,BTM,Delivery,Beverages,300.0,Delivery
All Shook Up,Yes,No,3.6,34,Marathahalli,others,"Desserts, Beverages",300.0,Delivery
White Fog,No,No,4.0,0,Koramangala 6th Block,Cafe,others,800.0,Dine-out
Fresh Kitchen,No,No,2.8,0,HSR,Quick Bites,"North Indian, Chinese",400.0,Delivery
Yummy Beeriyaniz,No,No,3.5,0,Whitefield,"Takeaway, Delivery",others,400.0,Delivery
Ram Prasad Veg,No,No,3.6,14,Shivajinagar,Quick Bites,South Indian,150.0,Dine-out
Onesta,Yes,Yes,4.3,397,Basaveshwara Nagar,others,others,600.0,Dine-out
Punjabi Times,Yes,Yes,4.1,1025,Bannerghatta Road,Casual Dining,North Indian,1000.0,Delivery
Chaska Bun,Yes,No,4.2,166,Koramangala 5th Block,Quick Bites,Fast Food,300.0,Dine-out
Biriyani Angadi,No,No,3.2,7,BTM,Quick Bites,Biryani,200.0,Dine-out
Dragon's Kitchen,Yes,No,3.1,248,HSR,Casual Dining,Chinese,500.0,Delivery
Japan Travel Cafe Azuki,No,No,4.3,74,Residency Road,Cafe,others,400.0,Cafes
Awesome Foods,Yes,No,3.7,27,BTM,Quick Bites,"Chinese, North Indian",300.0,Delivery
Lungees Foods,Yes,No,3.7,160,Sarjapur Road,Casual Dining,Kerala,500.0,Delivery
Burrito Boys,Yes,No,3.0,6,Bannerghatta Road,others,others,400.0,Dine-out
Roll N Rock,Yes,No,3.7,33,JP Nagar,Quick Bites,others,400.0,Dine-out
Ishta Cafe,Yes,No,3.9,42,Jayanagar,Quick Bites,others,500.0,Delivery
SGS Non Veg - Gundu Pulav,Yes,No,3.9,55,St. Marks Road,Quick Bites,"Biryani, Fast Food",400.0,Delivery
Namdhari's Salad Bar,No,No,3.9,82,Indiranagar,Quick Bites,others,400.0,Desserts
What's In A Name,Yes,Yes,4.1,1789,Koramangala 5th Block,others,others,1200.0,Delivery
Upahara Sagar,No,No,3.0,25,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery
Hotel Ashoka,No,No,3.7,11,Shivajinagar,Quick Bites,South Indian,200.0,Dine-out
Bonum cibum,Yes,No,4.5,217,HSR,Casual Dining,others,1200.0,Delivery
Sri Krishna Bhavan Sweets,No,No,3.9,56,Sanjay Nagar,others,"Mithai, Street Food",350.0,Dine-out
Restro Cafe,Yes,No,3.8,30,Jayanagar,Cafe,Cafe,400.0,Dine-out
Happy Belly Bakes,Yes,No,4.1,119,MG Road,others,"Cafe, Bakery",500.0,Dine-out
New Ambur Hot Dum Biryani,No,No,3.4,0,Sanjay Nagar,Quick Bites,others,400.0,Delivery
Burger King,Yes,No,3.9,1047,Koramangala 7th Block,Quick Bites,others,600.0,Dine-out
Wellness Cafe,No,No,3.2,0,Bannerghatta Road,Cafe,others,400.0,Dine-out
Keventers,Yes,No,3.7,104,Malleshwaram,others,others,400.0,Delivery
"3B's - Buddies, Bar & Barbecues",No,Yes,4.4,1154,BTM,"Casual Dining, Bar",others,1100.0,Buffet
Juice Junction Food Court,Yes,No,3.8,212,HSR,Quick Bites,others,200.0,Delivery
Maruti Garden,No,No,3.4,0,BTM,Casual Dining,others,500.0,Dine-out
Hyderabadi Biriyani,Yes,No,3.4,33,Bellandur,Casual Dining,others,800.0,Delivery
Cake Ghar,Yes,No,3.8,15,Basavanagudi,Bakery,Bakery,400.0,Desserts
Shiv Sager,No,No,3.0,10,Brigade Road,others,"South Indian, North Indian, Chinese",200.0,Delivery
Grills And Tandoor,Yes,Yes,3.7,111,Koramangala 5th Block,Casual Dining,"North Indian, Chinese",900.0,Dine-out
Night Restro,Yes,No,3.1,223,BTM,Delivery,"North Indian, Chinese",500.0,Delivery
Paani Kum Chai,Yes,No,3.4,0,HSR,others,others,100.0,Delivery
Chulha Chauki Da Dhaba,Yes,No,4.3,2420,JP Nagar,Casual Dining,North Indian,800.0,Delivery
EatWater,Yes,No,4.2,121,Lavelle Road,"Casual Dining, Bar",others,1000.0,Pubs and bars
New Tasty Cafeteria,Yes,No,3.8,376,BTM,Quick Bites,others,500.0,Delivery
BrotherÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂs Bar & Kitchen,No,No,3.4,5,BTM,Casual Dining,"Chinese, North Indian",1000.0,Dine-out
Cafe @ Elanza,No,No,3.7,145,Richmond Road,others,others,1000.0,Delivery
Hoppipola,Yes,No,4.3,1703,Church Street,others,others,1300.0,Delivery
Al-Hyatt,No,No,3.9,0,Ejipura,Quick Bites,others,300.0,Delivery
Bismillah Bawarchi,Yes,No,3.6,42,Brookefield,Quick Bites,"North Indian, Chinese, Biryani",300.0,Dine-out
Mainland China,Yes,Yes,4.5,1418,Church Street,"Casual Dining, Bar",Chinese,1700.0,Delivery
Karnataka Biriyani Centre,No,No,3.2,0,Jayanagar,Quick Bites,Biryani,200.0,Delivery
Zaiqa,No,No,3.4,8,Richmond Road,Quick Bites,"North Indian, Chinese",350.0,Dine-out
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,3.8,44,Koramangala 7th Block,Delivery,Continental,500.0,Delivery
Venkateshwara Sweets and Restaurant,No,No,3.6,41,JP Nagar,others,others,400.0,Dine-out
Paani Kum Chai,Yes,No,4.0,25,JP Nagar,others,"Beverages, Fast Food",200.0,Delivery
Rayalaseema Abhiruchulu,No,No,2.9,0,BTM,Quick Bites,"North Indian, South Indian, Chinese",250.0,Delivery
Imperial Restaurant,Yes,No,3.9,239,Indiranagar,Casual Dining,others,800.0,Delivery
Mehek E Punjab,No,No,3.9,0,HSR,Quick Bites,"North Indian, Chinese",400.0,Delivery
Aaha Andhra,No,No,3.4,58,Marathahalli,Casual Dining,others,900.0,Delivery
Mr Manchurian,Yes,No,3.6,199,Marathahalli,others,"Chinese, Momos",500.0,Delivery
Namak Swad Anusaar,Yes,No,3.8,156,Marathahalli,Quick Bites,others,400.0,Dine-out
New Peking,Yes,No,4.1,383,Kammanahalli,Casual Dining,others,700.0,Delivery
Windmills Craftworks,No,No,4.6,5892,Whitefield,others,others,2500.0,Drinks & nightlife
An Egg Story,No,No,4.0,241,Kalyan Nagar,Cafe,others,600.0,Cafes
Fishland Deluxe,No,No,3.5,9,Jayanagar,Quick Bites,others,500.0,Delivery
Roll Junction,Yes,No,2.9,56,Cunningham Road,Quick Bites,"Fast Food, Rolls",150.0,Delivery
Mangalore pearl - Seafood Restaurant,Yes,No,4.3,94,Ulsoor,Casual Dining,others,550.0,Delivery
AM Biryani Junction,No,No,3.7,0,Richmond Road,Quick Bites,"North Indian, Chinese, Biryani",300.0,Delivery
Bundar,No,No,4.1,2448,Koramangala 6th Block,Cafe,others,700.0,Delivery
Habibi Falafel,Yes,No,4.3,221,Koramangala 1st Block,Quick Bites,others,300.0,Delivery
Enchanted Garden,Yes,Yes,4.3,330,Whitefield,others,others,1400.0,Delivery
Cafe Mozaic - Taj MG Road Bengaluru,No,Yes,4.1,563,MG Road,others,others,2500.0,Cafes
ThrowBack - Pub & Dine,No,No,3.9,234,Langford Town,others,others,1000.0,Pubs and bars
Gilly's Restobar,No,Yes,4.5,3919,Koramangala 5th Block,others,others,1000.0,Drinks & nightlife
Muthashy's,Yes,No,4.2,469,BTM,Quick Bites,others,400.0,Delivery
Faasos,Yes,No,4.0,462,Koramangala 8th Block,Quick Bites,others,500.0,Dine-out
Malleshwaram Holige Mane,No,No,3.5,7,Malleshwaram,Quick Bites,South Indian,200.0,Dine-out
Ande Ka Funda,No,No,3.7,73,Koramangala 7th Block,Quick Bites,others,250.0,Delivery
Bistro Claytopia,Yes,Yes,4.1,1855,Koramangala 1st Block,Cafe,others,600.0,Delivery
Nostradamus Bar & Lounge,No,No,3.6,14,Cunningham Road,others,others,1500.0,Dine-out
Siddique Kabab Centre,Yes,No,3.1,68,Jayanagar,Quick Bites,others,550.0,Dine-out
Hunger Swipe Restaurant,No,No,3.9,0,HSR,Casual Dining,"North Indian, Chinese",700.0,Delivery
The Higher Taste,No,Yes,4.3,854,Rajajinagar,Casual Dining,others,800.0,Buffet
Chai Point,No,No,3.8,45,Whitefield,others,"Beverages, Fast Food",150.0,Dine-out
Insomniac's Delight,Yes,No,4.0,231,Electronic City,Delivery,others,300.0,Delivery
Dry Dock Cafe,No,No,3.6,10,Koramangala 5th Block,Quick Bites,others,200.0,Dine-out
Aroma Fine Dine,Yes,Yes,4.0,126,HSR,Casual Dining,others,900.0,Delivery
Lassi Corner,Yes,No,3.3,71,Marathahalli,others,others,250.0,Delivery
Tempteys,Yes,No,3.7,40,HSR,others,Beverages,300.0,Delivery
Kshera Sagar,No,No,3.7,0,Koramangala 1st Block,Quick Bites,"North Indian, Chinese",200.0,Delivery
Sea Horse,No,No,3.4,9,JP Nagar,Casual Dining,others,500.0,Delivery
Chination,No,No,3.5,0,Frazer Town,Delivery,Chinese,600.0,Delivery
Chung's Chinese Corner,Yes,No,2.7,283,Indiranagar,Casual Dining,Chinese,700.0,Delivery
Shree Mahalakshmi Sweets,Yes,No,3.6,0,Kammanahalli,others,"Mithai, Street Food",100.0,Delivery
Goli Vada Pav No. 1,Yes,No,3.4,86,Bellandur,Quick Bites,Street Food,200.0,Delivery
